Batch No:0
Requestid				T									D
[509]				35.0342569037									10.8623725983
[512]				20.7921804978									0
[513]				18.2988044724									0
[514]				6.68292262298									0
[515]				5.0									0
[516]				5.0									0
[517]				7.84473824193									0
[518]				11.7509681548									0
[519]				5.0									0
[520]				9.51676062189									0
[521]				10.9436416618									0
[522]				7.94803308467									0
[523]				8.43395185566									0
[524]				10.4805107405									0
[525]				5.0									0
[526]				7.86671402864									0
[527]				8.0526121477									0
[528]				5.0									0
[529]				9.10896499662									0
[530]				11.5153467727									0
[531]				12.4246684774									0
[532]				12.4175352378									0
[533]				16.0231894254									0
[534]				17.3930308618									0
[535]				22.0228955867									0
[537]				23.958463878									0
[539]				25.1893449098									1.51978413571
[538]				32.1249999157									7.65524834422
[536]				41.47069998									17.9129658675
[540]				32.0801279818									7.37392379846
[541]				26.4775533747									2.93842505411
[542]				25.5312948363									2.88697931844
[543]				17.9812054412									0
[544]				9.32657516943									0
[545]				13.1582810678									0
[546]				17.2721372576									0
[547]				21.9520319312									0
[548]				18.8758097781									0
[549]				18.9332880016									0
[550]				23.8751246364									0
[552]				18.1842095065									0
[553]				22.9407291603									0
[551]				38.6095754976									13.6619026504
[555]				26.8582063276									4.7343401173
[554]				32.6078707757									7.63695162182
[556]				31.1881569441									6.68018005692
[557]				18.330077934									0
[558]				22.7456863642									0
[560]				23.6302774208									0
[559]				32.3306490091									11.6133364611
[561]				20.272683996									0
[562]				24.8413982426									0
[563]				23.6592983791									0
[564]				17.5260896808									0
[565]				21.7555185598									0
[566]				18.3287874105									0
[567]				21.5330787107									0
[568]				24.4046525077									0
[570]				20.8774932794									0
[571]				22.1185989503									0
[573]				24.6419303842									0
[569]				44.3956512449									22.7339684863
[572]				36.1050951918									11.1157238513
[574]				22.0427215191									0
[576]				24.993258629									0
[575]				30.8898831898									6.34192009354
[578]				22.9105479695									0
[579]				26.9702179604									3.40374209426
[581]				25.4910027149									2.72026240298
[582]				23.9759661404									0
[580]				40.0997123729									15.330667856
[583]				23.1311962019									0
[584]				26.2871719612									5.11702727498
[586]				24.5887100408									0
[585]				30.331712035									7.34581128281
[587]				32.1281556521									7.67805461605
[577]				78.0202054982									54.2670039702
[590]				24.2470404777									0
[588]				46.476267986									22.2666785511
[592]				23.5271274713									0
[593]				19.1478554893									0
[591]				41.098013744									20.113070613
[594]				24.9119639249									0
[595]				29.2518790036									4.29797209133
[597]				30.6585112744									7.60213967746
[589]				70.3158063486									47.0120197169
[598]				23.1481307299									0
[599]				23.4533077482									0
[601]				23.0951595532									0
[596]				57.7132764909									34.2543752605
[600]				35.0013750317									11.5833150104
[602]				16.4362728369									0
[603]				6.41273642264									0
[604]				8.52739378356									0
[605]				7.4990459897									0
[606]				5.0									0
[607]				7.63564903436									0
[608]				5.0									0
[609]				5.4824664569									0
[610]				9.58117101494									0
[611]				14.250759524									0
[612]				5.0									0
[613]				6.23590781471									0
[614]				7.72283963969									0
[615]				5.0									0
[616]				5.0									0
[617]				5.83906527899									0
[618]				8.83345811032									0
[619]				5.65421683828									0
[620]				8.87803663863									0
[621]				10.062866766									0
[622]				6.53670759148									0
[623]				5.96556182674									0
[624]				10.100979605									0
[625]				13.74167184									0
[626]				11.6172010705									0
[627]				8.78287983091									0
[628]				13.1332209507									0
[629]				5.0									0
[630]				9.1410443228									0
[631]				13.0396517462									0
[632]				17.4755359988									0
[633]				18.9277502017									0
[634]				18.1281256581									0
[635]				11.4460045975									0
